,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,-0.051426597092470994,-0.7708530025357098,-0.10333685658431535,-0.14826022787727539,0.6051329274759548,-0.39958945411311975,0.7033100318909262,0.2597719635687158,-0.8909039684484079,0.9268375051485791,0.9442702590532622,0.9729441878397612,0.27773293232857366,0.5682755661916629,0.7663094684847985,0.9518984135845251,0.9477673955771609,0.8465678386764744,0.6579820358750116,-0.13065028441402893,-0.19083500995450353,0.29054388851400303,-0.0755773540204496
Total Vehicle Sales,-0.051426597092470994,1.0,0.3671684234989764,-0.2246616770621653,-0.2205757006848312,0.5445965037907116,-0.65400823776526,-0.33003876505112223,0.26706170900495824,0.25751997097000506,0.0980463255337949,-0.16051630606268033,0.083237415500183,0.6739591102915558,0.04942315479823447,0.3747644815738245,0.06039379510125439,-0.000477789059238605,0.41230329567875074,-0.40129967520336907,-0.42916196237443516,-0.4197217850969089,-0.42389506958101736,-0.3881079810224448
Domestic Auto Production,-0.7708530025357098,0.3671684234989764,1.0,-0.12451784645625151,-0.02997728416479841,-0.34936631132685547,0.08999246880023308,-0.6061433680383712,-0.3340433908497929,0.7328773505427495,-0.6707589092204302,-0.7023167825513131,-0.7216389911538329,0.1428132805465026,-0.17914277605817225,-0.54777130172722,-0.7287932248070771,-0.7597462261095429,-0.49399106851894614,-0.5295304020976178,0.18444402664718101,0.22838717469806857,-0.21838431566198038,0.169374814947486
15-Year Fixed Rate Mortgage Average in the United States,-0.10333685658431535,-0.2246616770621653,-0.12451784645625151,1.0,0.984031993454783,0.11770277044593339,-0.12302674884401292,0.3645914646629142,0.5919755176809859,-0.03495720326202531,0.10271619593006062,-0.08069702259198169,-0.07604655139044476,0.12161138296347625,0.24208548064665636,-0.3391394650160763,0.08171538501080804,0.13053965081358326,-0.22334585280965252,-0.241302066415819,0.3126099102900036,0.2802152320628139,0.5369512335784639,0.28386359162482555
30-Year Fixed Rate Mortgage Average in the United States,-0.14826022787727539,-0.2205757006848312,-0.02997728416479841,0.984031993454783,1.0,0.07185037767507696,-0.111734755039672,0.3702374167391479,0.5081871889059033,-0.007757728478334165,0.06815117975135035,-0.10309801860487819,-0.11812578494564334,0.14445612341575284,0.2988592834191357,-0.41626126728578594,0.03968046267316224,0.08186047656711924,-0.26020961918140045,-0.26355166533572166,0.40140191633524613,0.3665333953511748,0.5884542609992185,0.377285885525276
Employment Level,0.6051329274759548,0.5445965037907116,-0.34936631132685547,0.11770277044593339,0.07185037767507696,1.0,-0.9466723941568661,0.38312511495319584,0.6945003009647119,-0.42012281421114256,0.7649855310372798,0.4145467845169735,0.6913525006284165,0.7843418951713592,0.4903588635648657,0.6548405807438942,0.7491794587570925,0.7255234808208223,0.8191096893432454,0.038224828223692,-0.33920914742080527,-0.38070017247629145,0.0741044673249186,-0.27447630995927635
Unemployment Rate,-0.39958945411311975,-0.65400823776526,0.08999246880023308,-0.12302674884401292,-0.111734755039672,-0.9466723941568661,1.0,-0.26837475969957736,-0.6105153313932385,0.24456021918959628,-0.5856280023759428,-0.21798769927459824,-0.4909691312525403,-0.8802870635665367,-0.4977915726905357,-0.4626230857052595,-0.5642052744154894,-0.5291205500610836,-0.6877136352962713,0.15811482150538703,0.25122329868045445,0.2903446904349875,-0.07651163403991995,0.19050249233266478
"Inflation, consumer prices for the United States",0.7033100318909262,-0.33003876505112223,-0.6061433680383712,0.3645914646629142,0.3702374167391479,0.38312511495319584,-0.26837475969957736,1.0,0.30373653704477993,-0.8236202231149905,0.72927370685857,0.7388587902341901,0.6636166932985749,0.20969607994270162,0.771529399880275,0.20941643411221586,0.7238667660956789,0.7517090011519045,0.423597385967801,0.6013496860127662,0.3866886596100504,0.33635372588102397,0.6975898742847427,0.43985379189097723
Federal Funds Effective Rate,0.2597719635687158,0.26706170900495824,-0.3340433908497929,0.5919755176809859,0.5081871889059033,0.6945003009647119,-0.6105153313932385,0.30373653704477993,1.0,-0.14902530745740297,0.4968933747119345,0.1020397210439921,0.3411251113849743,0.5162006762196503,0.29056694332526456,0.2854341443500114,0.4422572056002579,0.46891064502163526,0.3320924419783533,-0.08530054999712834,-0.1769194690189768,-0.1699222903567295,0.12722064242761602,-0.15870140468554247
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.8909039684484079,0.25751997097000506,0.7328773505427495,-0.03495720326202531,-0.007757728478334165,-0.42012281421114256,0.24456021918959628,-0.8236202231149905,-0.14902530745740297,1.0,-0.8083008457943572,-0.9014017787121565,-0.8375120756611268,-0.1554408092315853,-0.6171312628650978,-0.5197395167579233,-0.8392893317834009,-0.8472753677437251,-0.6352532687038074,-0.6934404719385445,-0.09922359909997362,-0.0414024613539575,-0.4467975320022596,-0.1566727115533832
