,Equally Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Equally Weighted Composite_Index,1.0,0.02627767775541604,-0.7637545176484538,-0.12068330614296138,-0.1677183448539657,0.6659238537355,-0.4684261203574775,0.6666941803822748,0.2991517636376824,-0.8601157040245847,0.9323411766319257,0.9114645152779578,0.9771375868844341,0.33788684468448976,0.5561160831821771,0.7990867312522988,0.9574002591405111,0.9467350117111025,0.8824696923131443,0.5983416237706095,-0.18196127498001913,-0.2426791305760454,0.23818333285966192,-0.1279019654649056
Total Vehicle Sales,0.02627767775541604,1.0,0.3671684234989764,-0.2246616770621653,-0.2205757006848312,0.5445965037907116,-0.65400823776526,-0.33003876505112223,0.26706170900495824,0.25751997097000506,0.0980463255337949,-0.16051257013952128,0.08325905269600703,0.6739591102915558,0.04942315479823447,0.3747644815738245,0.060394778098745404,-0.0006018424637854496,0.41230329567875074,-0.40129967520336907,-0.42916196237443516,-0.4197217850969089,-0.42389506958101736,-0.3881079810224448
Domestic Auto Production,-0.7637545176484538,0.3671684234989764,1.0,-0.12451784645625151,-0.02997728416479841,-0.34936631132685547,0.08999246880023308,-0.6061433680383712,-0.3340433908497929,0.7328773505427495,-0.6707589092204302,-0.7023181292108229,-0.7216394605984487,0.1428132805465026,-0.17914277605817225,-0.54777130172722,-0.7288002390836144,-0.7595903525177795,-0.49399106851894614,-0.5295304020976178,0.18444402664718101,0.22838717469806857,-0.21838431566198038,0.169374814947486
15-Year Fixed Rate Mortgage Average in the United States,-0.12068330614296138,-0.2246616770621653,-0.12451784645625151,1.0,0.984031993454783,0.11770277044593339,-0.12302674884401292,0.3645914646629142,0.5919755176809859,-0.03495720326202531,0.10271619593006062,-0.08071685028312893,-0.07608037416894452,0.12161138296347625,0.24208548064665636,-0.3391394650160763,0.08166636287289764,0.13117018233861746,-0.22334585280965252,-0.241302066415819,0.3126099102900036,0.2802152320628139,0.5369512335784639,0.28386359162482555
30-Year Fixed Rate Mortgage Average in the United States,-0.1677183448539657,-0.2205757006848312,-0.02997728416479841,0.984031993454783,1.0,0.07185037767507696,-0.111734755039672,0.3702374167391479,0.5081871889059033,-0.007757728478334165,0.06815117975135035,-0.10311849987402404,-0.11816239146287075,0.14445612341575284,0.2988592834191357,-0.41626126728578594,0.03964062066202641,0.08251794216316168,-0.26020961918140045,-0.26355166533572166,0.40140191633524613,0.3665333953511748,0.5884542609992185,0.377285885525276
Employment Level,0.6659238537355,0.5445965037907116,-0.34936631132685547,0.11770277044593339,0.07185037767507696,1.0,-0.9466723941568661,0.38312511495319584,0.6945003009647119,-0.42012281421114256,0.7649855310372798,0.4145423866571364,0.6913575942906202,0.7843418951713592,0.4903588635648657,0.6548405807438942,0.7491476492489542,0.7254809846507276,0.8191096893432454,0.038224828223692,-0.33920914742080527,-0.38070017247629145,0.0741044673249186,-0.27447630995927635
Unemployment Rate,-0.4684261203574775,-0.65400823776526,0.08999246880023308,-0.12302674884401292,-0.111734755039672,-0.9466723941568661,1.0,-0.26837475969957736,-0.6105153313932385,0.24456021918959628,-0.5856280023759428,-0.21798247353677086,-0.490971709596081,-0.8802870635665367,-0.4977915726905357,-0.4626230857052595,-0.5641611120263618,-0.5291232397749963,-0.6877136352962713,0.15811482150538703,0.25122329868045445,0.2903446904349875,-0.07651163403991995,0.19050249233266478
"Inflation, consumer prices for the United States",0.6666941803822748,-0.33003876505112223,-0.6061433680383712,0.3645914646629142,0.3702374167391479,0.38312511495319584,-0.26837475969957736,1.0,0.30373653704477993,-0.8236202231149905,0.72927370685857,0.7388482625256573,0.6635864602291877,0.20969607994270162,0.771529399880275,0.20941643411221586,0.7238614759654737,0.7519335090037949,0.423597385967801,0.6013496860127662,0.3866886596100504,0.33635372588102397,0.6975898742847427,0.43985379189097723
Federal Funds Effective Rate,0.2991517636376824,0.26706170900495824,-0.3340433908497929,0.5919755176809859,0.5081871889059033,0.6945003009647119,-0.6105153313932385,0.30373653704477993,1.0,-0.14902530745740297,0.4968933747119345,0.10202849432879561,0.341119700800501,0.5162006762196503,0.29056694332526456,0.2854341443500114,0.4421554965457042,0.46926290778336033,0.3320924419783533,-0.08530054999712834,-0.1769194690189768,-0.1699222903567295,0.12722064242761602,-0.15870140468554247
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.8601157040245847,0.25751997097000506,0.7328773505427495,-0.03495720326202531,-0.007757728478334165,-0.42012281421114256,0.24456021918959628,-0.8236202231149905,-0.14902530745740297,1.0,-0.8083008457943572,-0.9014005043598988,-0.8374998038280375,-0.1554408092315853,-0.6171312628650978,-0.5197395167579233,-0.8392896782459984,-0.8471774943349422,-0.6352532687038074,-0.6934404719385445,-0.09922359909997362,-0.0414024613539575,-0.4467975320022596,-0.1566727115533832
