,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^SP500-45,^SP500-45,^SP500-45,^SP500-45,^SP500-45
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
17/02/2010,1106.934012858073,1113.4006632486978,1097.8396647135417,1105.9299967447917,4757481666.666667,357.94066569010414,360.56166687011716,354.1376647949219,357.1306660970052,8527466.666666666
18/02/2010,1105.8130126953124,1112.4543294270834,1096.7669962565103,1104.9376627604167,4803735000.0,357.1699991861979,359.87733357747396,353.4153310139974,356.4616668701172,8504846.666666666
19/02/2010,1104.8056803385416,1111.5619995117188,1095.6619995117187,1104.0053304036458,4769455666.666667,356.50133260091144,359.2153340657552,352.79599812825523,355.8883331298828,8518873.333333334
22/02/2010,1103.9300130208333,1110.5563354492188,1094.7973347981772,1102.882666015625,4720914333.333333,355.92799886067706,358.682334391276,352.26533203125,355.3296661376953,8475073.333333334
23/02/2010,1102.829012044271,1109.3293334960938,1093.3293375651042,1101.2033325195312,4725296333.333333,355.3693318684896,358.021001180013,351.5479990641276,354.51133321126304,8479493.333333334
24/02/2010,1101.1600138346355,1107.8853352864583,1091.778670247396,1099.8119995117188,4722382333.333333,354.550331624349,357.32066752115884,350.8519989013672,353.86900024414064,8491600.0
25/02/2010,1099.7410115559896,1106.5416666666667,1090.2536702473958,1098.7026652018228,4715881333.333333,353.9079986572266,356.67833455403644,350.1686655680339,353.37366638183596,8549960.0
26/02/2010,1098.600675455729,1105.1696655273438,1089.066337076823,1097.3296630859375,4708375666.666667,353.3796651204427,356.04966735839844,349.6489990234375,352.7366668701172,8515513.333333334
01/03/2010,1097.2566731770833,1104.0263305664062,1087.785001627604,1096.2379964192708,4706123666.666667,352.74266560872394,355.4686676025391,349.02666625976565,352.18700052897134,8463033.333333334
02/03/2010,1096.2330078125,1103.215995279948,1087.2890014648438,1095.6473307291667,4685322000.0,352.1929992675781,354.96400044759116,348.6173329671224,351.76966756184896,8405833.333333334
03/03/2010,1095.6773396809897,1102.3889973958333,1086.6493326822917,1094.5993326822916,4659538333.333333,351.77533264160155,354.4146677652995,348.17766621907555,351.1653340657552,8435426.666666666
04/03/2010,1094.7163411458334,1101.5816650390625,1086.229667154948,1094.0969970703125,4630686666.666667,351.17099914550784,353.8783345540365,347.82166646321616,350.8020009358724,8396653.333333334
05/03/2010,1094.2643391927083,1101.5083333333334,1086.572334798177,1094.8376627604166,4539310333.333333,350.807666015625,353.60333455403645,347.6390004475912,350.73033447265624,8288546.666666667
08/03/2010,1095.028006998698,1102.3603352864584,1088.125333658854,1096.395662434896,4458178000.0,350.7359995524088,353.59600219726565,348.0693339029948,351.1740010579427,8145526.666666667
09/03/2010,1096.533341471354,1103.7736694335938,1089.5420003255208,1097.8513264973958,4481650666.666667,351.17966613769534,354.01100260416666,348.4876668294271,351.5830006917318,8186700.0
10/03/2010,1098.014005533854,1105.2593383789062,1091.2163330078124,1099.632657877604,4506224333.333333,351.5886657714844,354.3803354899089,348.9516672770182,352.0856679280599,8142986.666666667
11/03/2010,1099.7480061848958,1106.9503377278645,1093.0789998372395,1101.3906575520834,4484555666.666667,352.0913330078125,354.82200215657554,349.5066670735677,352.5660013834635,8061313.333333333
12/03/2010,1101.5740030924478,1108.72333984375,1095.362666829427,1103.57265625,4467081000.0,352.572666422526,355.3403350830078,350.3610005696615,353.4020009358724,7851413.333333333
15/03/2010,1103.6046712239583,1110.5410074869792,1097.6913330078125,1106.127323404948,4425456333.333333,353.40733337402344,356.0573354085287,351.36533406575523,354.442333984375,7577600.0
16/03/2010,1106.1693359375,1112.9043416341146,1100.2399983723958,1108.469657389323,4435195000.0,354.447666422526,357.0310028076172,352.3956675211588,355.4030008951823,7548373.333333333
17/03/2010,1108.4989990234376,1115.0746744791666,1102.6393310546875,1110.5659912109375,4442317000.0,355.4079996744792,358.02533569335935,353.4096669514974,356.3326680501302,7613273.333333333
18/03/2010,1110.680997721354,1117.243009440104,1104.8789998372397,1112.8509887695313,4440619000.0,356.325,358.9213358561198,354.37066752115885,357.2433349609375,7550073.333333333
19/03/2010,1112.9953328450522,1119.6413411458334,1107.9639973958333,1116.077323404948,4419043000.0,357.2356669108073,359.86033528645834,355.4586669921875,358.388335164388,7471373.333333333
22/03/2010,1116.0996663411458,1122.9976725260417,1111.5766642252604,1119.3979939778646,4346469000.0,358.3806671142578,360.99700215657555,356.60166727701824,359.5003346761068,7297633.333333333
23/03/2010,1119.464998372396,1126.44833984375,1115.1539957682292,1123.3123291015625,4357196333.333333,359.49733378092446,362.1526692708333,357.7556671142578,360.7896687825521,7283273.333333333
24/03/2010,1123.2196614583333,1129.5736735026042,1118.6856608072917,1126.5523274739583,4343579333.333333,360.7866678873698,363.22633666992186,358.95366719563805,361.89133504231773,7231186.666666667
25/03/2010,1126.5646606445312,1133.1410034179687,1122.2106608072916,1129.8056599934896,4390827666.666667,361.8886678059896,364.4953369140625,360.163666788737,363.07000122070315,7265186.666666667
26/03/2010,1129.913993326823,1136.2706705729167,1125.573661295573,1132.7429931640625,4401079333.333333,363.067333984375,365.57666931152346,361.3440002441406,364.10333455403645,7234933.333333333
29/03/2010,1132.9726603190104,1139.5053344726562,1129.0649943033854,1135.9999918619792,4408242666.666667,364.10033365885414,366.6433359781901,362.5106669108073,365.13133544921874,7141586.666666667
30/03/2010,1136.12666015625,1142.2439982096355,1132.0579956054687,1138.6133260091146,4408383666.666667,365.1283345540365,367.57533671061196,363.5096669514974,366.03900146484375,7102320.0
31/03/2010,1138.646993001302,1144.694999186198,1134.4263305664062,1140.943994140625,4415887333.333333,366.03600056966144,368.4310038248698,364.33233337402345,366.8240020751953,7098880.0
01/04/2010,1141.0536580403646,1147.13466796875,1136.8666625976562,1143.3223266601562,4420162333.333333,366.821001180013,369.2416707356771,365.06500040690105,367.52333475748696,7125360.0
05/04/2010,1143.4943237304688,1149.644999186198,1139.4636596679688,1145.9313232421875,4418073666.666667,367.5203338623047,370.0636708577474,365.85166625976564,368.3763356526693,7085193.333333333
06/04/2010,1146.0279907226563,1152.2953328450521,1142.0433268229167,1148.645654296875,4427131666.666667,368.373334757487,370.9270039876302,366.6739990234375,369.2676686604818,7103453.333333333
07/04/2010,1148.7193237304687,1154.9960001627603,1144.8789916992187,1151.5739868164062,4446477666.666667,369.26466776529946,371.86200459798175,367.69199930826824,370.29400126139325,7118146.666666667
08/04/2010,1151.5813232421874,1157.7336669921874,1147.5329915364584,1154.2806518554687,4465098000.0,370.2916676839193,372.7520050048828,368.611333211263,371.2013346354167,7122446.666666667
09/04/2010,1154.455655924479,1160.772334798177,1150.9039916992188,1157.3283203125,4464779333.333333,371.1990010579427,373.771337890625,369.7503336588542,372.2423350016276,7079180.0
12/04/2010,1157.5169881184895,1163.837666829427,1154.1423217773438,1160.3946533203125,4486842666.666667,372.24000142415366,374.8370045979818,370.8383331298828,373.31500142415365,7074473.333333333
13/04/2010,1160.5363199869792,1166.602001953125,1156.9243204752604,1163.1143229166667,4538707333.333333,373.3126678466797,375.79267069498695,371.8539998372396,374.25766805013023,7083253.333333333
14/04/2010,1163.258984375,1169.5083374023438,1159.6636515299479,1166.1923217773438,4592886000.0,374.2553344726563,376.8796712239583,372.853667195638,375.4410013834635,7127546.666666667
15/04/2010,1166.3059855143229,1172.4510050455729,1162.7276529947917,1169.2883219401042,4661019666.666667,375.4390014648437,378.0723378499349,374.0450002034505,376.6860015869141,7148040.0
16/04/2010,1169.3409871419271,1175.3323404947917,1165.0646525065104,1171.5936564127603,4799801666.666667,376.6840016682943,379.2493377685547,375.1116668701172,377.6890014648437,7287680.0
19/04/2010,1171.5723225911458,1177.2820068359374,1167.0166544596354,1173.554325358073,4881959666.666667,377.68700154622394,380.1160044352213,375.9809997558594,378.5523345947266,7305500.0
20/04/2010,1173.5936564127603,1179.5330037434896,1169.0923217773438,1175.8433268229167,4933356666.666667,378.5503346761068,380.9960042317708,376.7963338216146,379.431000773112,7305760.0
21/04/2010,1175.9136555989583,1181.7203369140625,1171.2239868164063,1178.0263264973958,4951314666.666667,379.4290008544922,381.85267028808596,377.6860005696615,380.3143341064453,7287333.333333333
22/04/2010,1177.990323893229,1183.7873372395834,1172.8939860026042,1180.128328450521,4970203333.333333,380.3123341878255,382.6650034586589,378.3559997558594,381.1333333333333,7358960.0
23/04/2010,1180.1206583658854,1186.0220052083334,1175.0976521809896,1182.3629964192708,4992103333.333333,381.13133341471354,383.5013366699219,379.17100016276044,381.9623331705729,7428806.666666667
26/04/2010,1182.2993245442708,1188.2350056966145,1177.2343180338542,1184.4316650390624,5016090000.0,381.9603332519531,384.3243367513021,379.99766642252604,382.7633331298828,7451073.333333333
27/04/2010,1184.3456583658854,1190.24833984375,1178.5733194986979,1185.538330078125,5125771000.0,382.7626658121745,385.1350026448568,380.6426666259766,383.3366668701172,7582520.0
28/04/2010,1185.4709920247396,1191.4073404947917,1179.6219889322917,1186.6016642252605,5191522333.333333,383.334999593099,385.663335164388,381.13233337402346,383.8486663818359,7650300.0
29/04/2010,1186.5829956054688,1192.7246744791667,1180.733992513021,1187.9539998372395,5228062666.666667,383.8473327636719,386.19200236002604,381.64466654459636,384.4389994303385,7648680.0
30/04/2010,1187.9376627604167,1194.065340169271,1181.57265625,1188.6493326822917,5288521000.0,384.4376658121745,386.7453358968099,381.96433308919273,384.7083323160807,7734146.666666667
03/05/2010,1188.6676595052083,1195.263008626302,1182.6809895833333,1190.0613321940104,5279375666.666667,384.7069986979167,387.21300252278644,382.39166666666665,385.25266621907554,7677686.666666667
04/05/2010,1190.009326171875,1196.25234375,1183.1889892578124,1190.32099609375,5357143666.666667,385.25133260091144,387.62066955566405,382.54466654459634,385.3246663411458,7829066.666666667
05/05/2010,1190.10166015625,1196.2933430989583,1182.999658203125,1190.044327799479,5436620333.333333,385.3233327229818,387.57533569335936,382.46266682942706,385.2049987792969,7906766.666666667
06/05/2010,1189.8243286132813,1196.1113403320312,1179.6589925130208,1188.7253295898438,5633689000.0,385.19933268229164,387.4843353271484,381.1303334554037,384.74566548665365,8200146.666666667
07/05/2010,1188.3913289388022,1194.59267578125,1177.294327799479,1186.8969970703124,5760489333.333333,384.73999938964846,386.8523356119792,380.1073333740234,383.9623321533203,8446613.333333334
10/05/2010,1186.880997721354,1194.2566731770833,1175.9873291015624,1186.668330891927,5833332000.0,383.9566660563151,386.6266693115234,379.3990000406901,383.7793324788411,8573040.0
11/05/2010,1186.5036661783854,1194.1110066731771,1175.320662434896,1186.087333170573,5882231000.0,383.7740000406901,386.5053354899089,379.0940002441406,383.537998453776,8700440.0
12/05/2010,1185.8930013020833,1193.945674641927,1174.87099609375,1186.0340006510417,5920246333.333333,383.53233337402344,386.4636688232422,378.88133443196614,383.5119984944661,8785253.333333334
13/05/2010,1185.8360026041667,1193.9126708984375,1174.5499959309896,1185.6343302408854,5933123000.0,383.50600077311196,386.4980021158854,378.744667561849,383.3906646728516,8856393.333333334
14/05/2010,1185.3680013020833,1193.104667154948,1173.0649983723958,1184.220332845052,6003774000.0,383.3846669514974,386.2373352050781,378.3076670328776,383.0053314208984,8951413.333333334
17/05/2010,1183.961669921875,1191.5763346354167,1170.9399983723958,1182.5369995117187,6071817333.333333,382.99933369954425,385.7723347981771,377.7086669921875,382.50933125813805,9042673.333333334
18/05/2010,1182.3873372395833,1190.1383341471353,1168.7543294270833,1180.249003092448,6141306000.0,382.5033335367838,385.3140014648437,377.04766743977865,381.80999857584635,9147213.333333334
19/05/2010,1180.0986694335938,1187.9606689453126,1166.2013305664063,1178.0023396809895,6196785000.0,381.8040008544922,384.6370005289713,376.23166707356773,381.0566660563151,9240133.333333334
20/05/2010,1177.6183349609375,1185.2536661783854,1162.7499959309896,1174.1740071614583,6316838333.333333,381.05066833496096,383.853667195638,375.13299967447915,379.8753326416016,9434380.0
21/05/2010,1173.6113362630208,1181.770332845052,1158.3749959309896,1170.6180053710937,6348190333.333333,379.8693349202474,382.744667561849,373.7469991048177,378.70433247884114,9684846.666666666
24/05/2010,1169.9393391927083,1178.1286661783854,1154.3079956054687,1166.5236735026042,6368755333.333333,378.698334757487,381.6010009765625,372.50933329264325,377.42799886067706,9746020.0
25/05/2010,1165.655342610677,1173.985664876302,1149.3733317057292,1162.4146728515625,6432955333.333333,377.4220011393229,380.2626678466797,370.91099955240884,375.9439982096354,9733640.0
26/05/2010,1161.5493448893228,1169.9889973958334,1144.9366658528645,1157.6580037434896,6391655666.666667,376.0830006917318,378.9393341064453,369.42133280436195,374.269330851237,9782526.666666666
27/05/2010,1156.9993448893229,1166.3089965820313,1140.462333170573,1154.0376708984375,6381760000.0,374.40833333333336,377.5960001627604,367.76099955240886,372.92999674479165,9815046.666666666
28/05/2010,1153.4133422851562,1162.7229939778647,1137.0626668294271,1150.613671875,6273851333.333333,373.068999226888,376.26666666666665,366.4739990234375,371.67299601236977,9729093.333333334
01/06/2010,1149.9213419596354,1159.286328125,1133.2696655273437,1146.386669921875,6229642666.666667,371.81199849446614,375.0970001220703,365.2219991048177,370.27832946777346,9766226.666666666
02/06/2010,1145.720340983073,1155.6189982096355,1129.0359985351563,1142.7603352864583,6219968333.333333,370.4173319498698,373.8783335367838,363.8529988606771,369.0816630045573,9806506.666666666
03/06/2010,1142.109004720052,1152.1083333333333,1125.4680013020834,1139.3233357747397,6195690333.333333,369.2206654866537,372.7360005696615,362.65699869791666,367.96799723307294,9804793.333333334
04/06/2010,1138.6393391927083,1148.3803344726562,1121.1450032552084,1134.5303344726562,6200517000.0,368.10699971516925,371.57733459472655,361.32166544596356,366.44533081054686,9801926.666666666
07/06/2010,1133.9050048828126,1143.5163330078126,1115.9703369140625,1128.9699991861978,6205233666.666667,366.58433329264324,370.057334391276,359.6183319091797,364.644330851237,9795880.0
08/06/2010,1128.3630086263022,1138.2946655273438,1110.3403401692708,1123.968330891927,6223400000.0,364.78333333333336,368.2500010172526,357.68866577148435,362.8709981282552,9919686.666666666
09/06/2010,1123.4573404947917,1133.839998372396,1106.028006998698,1119.700996907552,6174355333.333333,363.01000061035154,366.6490010579427,356.07199910481773,361.25799763997395,9897386.666666666
10/06/2010,1119.2633422851563,1130.2666625976562,1101.9266723632813,1116.2169962565104,6134437666.666667,361.3980000813802,365.2830017089844,354.5526652018229,359.9066650390625,9859726.666666666
11/06/2010,1115.5750081380208,1126.3629964192708,1098.05400390625,1112.3776611328126,6067766666.666667,360.0463338216146,363.93633524576825,353.09766540527346,358.55833231608074,9844540.0
14/06/2010,1111.8493408203126,1122.960331217448,1094.8110066731772,1109.1423299153646,6013685666.666667,358.69666748046876,362.748334757487,352.0069986979167,357.4719991048177,9774346.666666666
15/06/2010,1108.6036743164063,1119.9756632486979,1091.565340169271,1106.241328938802,6003900333.333333,357.61033426920574,361.78233540852864,350.92066548665366,356.54599914550784,9825120.0
16/06/2010,1105.8210083007812,1117.3503295898438,1089.5323404947917,1104.2749959309897,5950829666.666667,356.6840006510417,360.9303354899088,350.38633219401044,356.0309997558594,9718000.0
17/06/2010,1104.045674641927,1115.4093302408853,1087.7896728515625,1102.6139973958334,5876223666.666667,356.16900126139325,360.48133544921876,349.98533223470054,355.6473337809245,9622533.333333334
18/06/2010,1102.4383422851563,1113.8569986979167,1089.3943400065104,1102.2593302408854,5674142000.0,355.7896677652995,360.14000244140624,350.86899922688804,355.68300069173176,9327593.333333334
21/06/2010,1102.2966756184896,1113.7269978841146,1089.8640055338542,1102.3366617838542,5508857000.0,355.82533467610676,360.279335530599,351.305332438151,355.9030008951823,9028300.0
