,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units
2010-01-01,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-02,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-03,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-04,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-05,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-06,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-07,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-08,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-09,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-10,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-11,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-12,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-13,10.893,231.5,4.5,5.09,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-14,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-15,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-16,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-17,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-18,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-19,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-20,10.893,231.5,4.45,5.06,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-21,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-22,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-23,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-24,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-25,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-26,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-27,10.893,231.5,4.4,4.99,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-28,10.893,231.5,4.39,4.98,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-29,10.893,231.5,4.39,4.98,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-30,10.893,231.5,4.39,4.98,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-01-31,10.893,231.5,4.39,4.98,138438.0,9.8,1.6400434423899,0.11,-37744.0,216.687,1674.7,8478.0,89.1897,393694.0,345.0,147.39600000000002,326.23,614.0
2010-02-01,10.315,232.1,4.39,4.98,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
2010-02-02,10.315,232.1,4.39,4.98,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
2010-02-03,10.315,232.1,4.39,4.98,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
2010-02-04,10.315,232.1,4.4,5.01,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
