Date,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
17/02/2010,10.315,232.1,4.34,4.97,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1119.5,77.33000183105469,76.2699966430664,5.386000156402588,2.0071001052856445
18/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1118.0,79.05999755859375,77.77999877929688,5.171999931335449,2.069200038909912
19/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1121.300048828125,79.80999755859375,78.19000244140625,5.044000148773193,2.085700035095215
22/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1112.5999755859375,80.16000366210938,78.61000061035156,4.894999980926514,2.115799903869629
23/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1102.699951171875,78.86000061035156,77.25,4.7779998779296875,2.0655999183654785
24/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1096.5,80.0,78.08999633789062,4.815999984741211,2.098900079727173
25/02/2010,10.315,232.1,4.4,5.05,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1107.800048828125,78.16999816894531,76.29000091552734,4.767000198364258,2.0369999408721924
26/02/2010,10.315,232.1,4.4,5.05,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0,1118.300048828125,79.66000366210938,77.58999633789062,4.813000202178955,2.0787999629974365
01/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1117.800048828125,78.69999694824219,76.88999938964844,4.678999900817871,2.155600070953369
02/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1136.9000244140625,79.68000030517578,78.18000030517578,4.708000183105469,2.1965999603271484
03/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1142.699951171875,80.87000274658203,79.25,4.756999969482422,2.2476000785827637
04/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1132.5999755859375,80.20999908447266,78.54000091552734,4.574999809265137,2.2337000370025635
05/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1134.800048828125,81.5,79.88999938964844,4.5929999351501465,2.2709999084472656
08/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1123.5999755859375,81.87000274658203,80.47000122070312,4.5269999504089355,2.2892000675201416
09/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1122.0,81.48999786376953,79.91000366210938,4.515999794006348,2.2602999210357666
10/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1107.800048828125,82.08999633789062,80.4800033569336,4.559000015258789,2.285099983215332
11/03/2010,11.772,224.0,4.32,4.95,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1108.0,82.11000061035156,80.27999877929688,4.440000057220459,2.2720000743865967
12/03/2010,11.772,224.0,4.32,4.95,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1101.5,81.23999786376953,79.38999938964844,4.400000095367432,2.255000114440918
15/03/2010,11.772,224.0,4.32,4.95,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1105.0999755859375,79.80000305175781,77.88999938964844,4.390999794006348,2.2228000164031982
16/03/2010,11.772,224.0,4.32,4.95,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1122.199951171875,81.69999694824219,79.0199966430664,4.3470001220703125,2.2750000953674316
17/03/2010,11.772,224.0,4.32,4.95,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1124.0,82.93000030517578,81.95999908447266,4.302999973297119,2.3097000122070312
18/03/2010,11.772,224.0,4.33,4.96,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1127.4000244140625,82.19999694824219,81.4800033569336,4.085000038146973,2.3008999824523926
19/03/2010,11.772,224.0,4.33,4.96,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1107.4000244140625,80.68000030517578,79.87999725341797,4.169000148773193,2.2555999755859375
22/03/2010,11.772,224.0,4.33,4.96,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1099.300048828125,81.25,80.54000091552734,4.078999996185303,2.256200075149536
23/03/2010,11.772,224.0,4.33,4.96,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1103.5,81.91000366210938,80.69999694824219,4.130000114440918,2.2627999782562256
24/03/2010,11.772,224.0,4.33,4.96,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1088.5999755859375,80.61000061035156,79.62000274658203,4.105000019073486,2.2211999893188477
25/03/2010,11.772,224.0,4.34,4.99,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1092.699951171875,80.52999877929688,79.61000061035156,3.9809999465942383,2.2177000045776367
26/03/2010,11.772,224.0,4.34,4.99,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1104.199951171875,80.0,79.29000091552734,3.871999979019165,2.20740008354187
29/03/2010,11.772,224.0,4.34,4.99,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1110.300048828125,82.16999816894531,81.16999816894531,3.8420000076293945,2.2613000869750977
30/03/2010,11.772,224.0,4.34,4.99,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1104.5,82.37000274658203,81.27999877929688,3.9730000495910645,2.2746999263763428
31/03/2010,11.772,224.0,4.34,4.99,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0,1113.300048828125,83.76000213623047,82.69999694824219,3.86899995803833,2.309999942779541
01/04/2010,11.454,224.4,4.39,5.08,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1125.0999755859375,84.87000274658203,84.01000213623047,4.085999965667725,2.323699951171875
05/04/2010,11.454,224.4,4.39,5.08,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1132.9000244140625,86.62000274658203,85.87999725341797,4.2769999504089355,2.3501999378204346
06/04/2010,11.454,224.4,4.39,5.08,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1135.0999755859375,86.83999633789062,86.1500015258789,4.0960001945495605,2.348299980163574
07/04/2010,11.454,224.4,4.39,5.08,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1152.300048828125,85.87999725341797,85.58999633789062,4.019000053405762,2.31469988822937
08/04/2010,11.454,224.4,4.52,5.21,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1152.199951171875,85.38999938964844,84.80999755859375,3.9089999198913574,2.29830002784729
09/04/2010,11.454,224.4,4.52,5.21,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1161.0999755859375,84.91999816894531,84.83000183105469,4.070000171661377,2.289299964904785
12/04/2010,11.454,224.4,4.52,5.21,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1161.5999755859375,84.33999633789062,84.7699966430664,4.007999897003174,2.295799970626831
13/04/2010,11.454,224.4,4.52,5.21,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1152.800048828125,84.05000305175781,84.72000122070312,4.159999847412109,2.309299945831299
14/04/2010,11.454,224.4,4.52,5.21,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1159.0,85.83999633789062,86.1500015258789,4.198999881744385,2.33270001411438
15/04/2010,11.454,224.4,4.4,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1159.699951171875,85.51000213623047,87.16999816894531,3.984999895095825,2.326200008392334
16/04/2010,11.454,224.4,4.4,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1136.300048828125,83.23999786376953,85.98999786376953,4.039000034332275,2.2769999504089355
19/04/2010,11.454,224.4,4.4,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1135.199951171875,81.44999694824219,84.2300033569336,3.944000005722046,2.2544000148773193
20/04/2010,11.454,224.4,4.4,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1138.5999755859375,83.44999694824219,84.80000305175781,3.9749999046325684,2.280900001525879
21/04/2010,11.454,224.4,4.4,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1148.199951171875,83.68000030517578,85.69999694824219,3.9549999237060547,2.2827000617980957
22/04/2010,11.454,224.4,4.39,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1142.300048828125,83.69999694824219,85.66999816894531,4.127999782562256,2.3001999855041504
23/04/2010,11.454,224.4,4.39,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1153.0999755859375,85.12000274658203,87.25,4.256999969482422,2.353100061416626
26/04/2010,11.454,224.4,4.39,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1153.5,84.19999694824219,86.83000183105469,4.26200008392334,2.34089994430542
27/04/2010,11.454,224.4,4.39,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1161.699951171875,82.44000244140625,85.77999877929688,4.216000080108643,2.3268001079559326
28/04/2010,11.454,224.4,4.39,5.07,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1171.300048828125,83.22000122070312,86.16000366210938,4.270999908447266,2.33270001411438
29/04/2010,11.454,224.4,4.39,5.06,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1168.4000244140625,85.16999816894531,86.9000015258789,3.9800000190734863,2.355600118637085
30/04/2010,11.454,224.4,4.39,5.06,139297.0,9.9,1.6400434423899,0.2,-41496.0,218.009,1699.0,8555.1,90.4607,400842.0,422.0,146.401,323.26,687.0,1180.0999755859375,86.1500015258789,87.44000244140625,3.9200000762939453,2.3963000774383545
03/05/2010,12.03,251.0,4.39,5.06,139241.0,9.6,1.6400434423899,0.2,-42088.0,218.178,1710.1,8609.3,91.7014,404370.0,280.0,146.391,323.26,583.0,1182.699951171875,86.19000244140625,88.94000244140625,4.0,2.4351000785827637
04/05/2010,12.03,251.0,4.39,5.06,139241.0,9.6,1.6400434423899,0.2,-42088.0,218.178,1710.1,8609.3,91.7014,404370.0,280.0,146.391,323.26,583.0,1168.5999755859375,82.73999786376953,88.94000244140625,4.013000011444092,2.322200059890747
05/05/2010,12.03,251.0,4.39,5.06,139241.0,9.6,1.6400434423899,0.2,-42088.0,218.178,1710.1,8609.3,91.7014,404370.0,280.0,146.391,323.26,583.0,1174.5999755859375,79.97000122070312,82.61000061035156,3.990999937057495,2.220400094985962
