Date,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units
17/02/2010,10.315,232.1,4.34,4.97,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
18/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
19/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
22/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
23/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
24/02/2010,10.315,232.1,4.33,4.93,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
25/02/2010,10.315,232.1,4.4,5.05,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
26/02/2010,10.315,232.1,4.4,5.05,138581.0,9.8,1.6400434423899,0.13,-41504.0,216.741,1699.8,8527.6,89.5046,394215.0,336.0,145.632,326.23,604.0
01/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
02/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
03/03/2010,11.772,224.0,4.4,5.05,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
04/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
05/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
08/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
09/03/2010,11.772,224.0,4.33,4.97,138751.0,9.9,1.6400434423899,0.16,-40271.0,217.631,1711.9,8523.7,90.1356,400659.0,381.0,145.858,326.23,636.0
