Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,M2,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,M1,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"Trade Balance: Goods and Services, Balance of Payments Basis",New Privately-Owned Housing Units Started: Total Units,Domestic Auto Production,New One Family Houses Sold
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,7.532147839016886,7.1313393115997314,6.7305307841825766,7.133535740780721,7.249107599258423,7.235178470611572,6.973823362759813,21.315426304501823,-0.16797157434316823,14.28571428571429,0.0,-14.28571428571429,-0.475356037151701,138.21337599825665,1.4033332035833623,-0.08289245190689964,-0.12302556817454163,0.04013311626764199,51.514769651606834,0.18383541428495662,-486755035.5667722,365724181.7059221,7.258393049240112,7.234762032826741,7.234553813934326,1.5173714964131586,7.2339291572571245,135.27502858370667,0.998573233155757,0.7438569964608248,0,7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,436396800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,7.466966941037584,7.115625,6.764283058962415,7.172532154265542,7.2407145500183105,7.228749990463257,6.991667654562569,19.331630811031147,-0.13370414880605885,7.14285714285714,0.0,-7.14285714285714,0.4377138130537807,130.0482921736629,2.408886966192172,-0.06705632495673619,-0.11183171953098056,0.04477539457424437,60.721831523114915,0.17828088105068307,-337272492.5856844,397903901.35960037,7.25,7.234999974568685,7.238124966621399,1.5162142240177467,7.247499942779559,132.6497309473528,0.9985107668109909,0.7446299482310019,1,7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,422825200,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,7.425959511024267,7.104196453094483,6.7824333951646985,7.186239407113217,7.224999904632568,7.219821453094482,7.014721025429239,17.584839736174,-0.10810205569634057,0.0,85.71428571428572,85.71428571428572,-0.09091722137755391,96.03063831452292,-1.1897497608689733,-0.057474678019723946,-0.10096031122872925,0.04348563320900531,66.70101467239355,0.17087818490926293,-530099137.7402156,313541317.6360633,7.2407145500183105,7.2140475908915205,7.211160659790039,1.516499273822362,7.20249986648556,132.51953865698775,0.9985262771380827,0.7444396536449587,0,7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,415469600,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,7.430951768807881,7.108964300155639,6.786976831503398,7.181194880730185,7.18017840385437,7.1730358600616455,7.039126272895601,16.64368453964636,-0.09050819812676902,28.57142857142857,78.57142857142857,50.0,-0.5800663942592745,56.17210761965427,-4.765115696744147,-0.05287396658836041,-0.09134304230065549,0.038469075712295075,69.59590013946536,0.16711646673014496,-630397353.6224,218612526.72882462,7.218214511871338,7.1679762204488116,7.165446400642395,1.5158087542364607,7.157856941223118,130.04104217391077,0.99848856432523,0.744900528977064,1,7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,390563600,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,7.414330340388922,7.09823215007782,6.782133959766718,7.137377080586244,7.0978569984436035,7.090000152587891,7.0597707122534,16.96238314127492,-0.05860577791165067,21.42857142857143,71.42857142857143,50.0,-0.5231322221377517,-10.08501740108368,-13.794654461935755,-0.05823950871279315,-0.08472233558308302,0.02648282687028987,61.67328561875732,0.16951629848714356,-929202691.2079253,64829729.69603038,7.18017840385437,7.072619120279948,7.063928604125977,1.516618613714402,7.037857055663983,129.7760538610446,0.9985327466485385,0.7443599663213234,0,7.142857074737549,7.190357208251953,6.989643096923828,7.0378570556640625,575094800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,7.383155320735149,7.088803601264954,6.794451881794759,7.147257721699763,7.102143049240112,7.129999876022339,7.077677652465994,17.19695615265407,-0.0358905180906639,14.28571428571429,64.28571428571428,49.999999999999986,0.6750013907690042,32.814972233221326,-2.5730959110998657,-0.051523128111964134,-0.07808249408885926,0.026559365976895122,60.911285237787645,0.16858147816194233,-668211933.0051697,79067487.63839757,7.162142992019653,7.14214293162028,7.1482144594192505,1.514543898395222,7.166429042816073,127.26327832644209,0.9984182493147504,0.7457438137633534,0,7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,460566400,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,7.334817216109543,7.078303599357605,6.821789982605668,7.170326230154393,7.190357446670532,7.138392925262451,7.094524655497345,16.770450277032282,0.005473959140288365,7.14285714285714,57.14285714285714,50.0,0.7738704930424797,39.51319974958649,1.3273146070060877,-0.041856211321307235,-0.07083723753534885,0.02898102621404161,70.48236955446423,0.17176950976417943,-194712288.44482875,228363049.37143838,7.162142992019653,7.163690567016602,7.176339387893677,1.5141127379639163,7.214285850524751,127.13657997189415,0.9983939154807583,0.7460309976658325,0,7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,665126000,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,7.363843202561169,7.087821459770202,6.811799716979236,7.218154619484426,7.261071443557739,7.270892858505249,7.11308796773092,15.455857188574436,0.04032972837105753,0.0,100.0,100.0,0.7066256154523305,113.72749099610094,8.642169651396042,-0.026341054134541686,-0.061938000855187414,0.03559694672064573,69.20153693750886,0.16758697449250184,136657837.83061588,374114178.4979203,7.162142992019653,7.283214251200358,7.289374947547913,1.5122987757612427,7.307857036590541,124.78333306933357,0.9982895061156338,0.7472377073917138,0,7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,507460800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,7.419922128940805,7.11805362701416,6.816185125087515,7.304731435961758,7.385893106460571,7.409821510314941,7.137600781968732,15.423131008361233,0.08034577736487769,0.0,100.0,100.0,0.8000052746441279,190.1066098222024,19.377883018716947,-0.0014349220672533747,-0.049837385097600606,0.04840246303034723,69.65048121165465,0.1680654683624571,548213402.7726936,530678758.4859676,7.162142992019653,7.427857398986816,7.436875343322754,1.5110229356339824,7.463929176330586,124.72168177876887,0.9982141026794028,0.7480849672947234,0,7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,550093600,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,7.470816904749065,7.143267941474915,6.815718978200764,7.366297622065081,7.461429119110107,7.474464416503906,7.168367873959205,15.756895239965498,0.09539618247594639,14.28571428571429,100.0,85.71428571428571,-0.34950915155809614,177.0030915016993,18.89583421171539,0.017695912127696722,-0.03633072565254115,0.05402663778023787,69.53088349015837,0.1639434552327029,388704236.42000866,495731464.7792265,7.162142992019653,7.46928596496582,7.466696739196777,1.5100481529992762,7.458929061889666,122.63334037313794,0.9981553970626966,0.7487314804134415,0,7.497499942779541,7.5296430587768555,7.419285774230957,7.458929061889648,566546400,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
