Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,M2,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,M1,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"Trade Balance: Goods and Services, Balance of Payments Basis",New Privately-Owned Housing Units Started: Total Units,Domestic Auto Production,New One Family Houses Sold
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,24.533175364487118,23.398999881744384,22.26482439900165,23.925430047922482,24.03499984741211,23.914999961853027,23.31422817106423,22.818675393862208,-0.12814096304086675,7.14285714285714,100.0,92.85714285714286,0.2285709614661507,87.03529166293636,10.419802658103116,-0.05357306071659096,-0.20075787636342995,0.147184815646839,73.87896367627022,0.5477278093916881,58833173.05811502,43127839.171731785,23.90999984741211,23.96666653951009,23.992499828338623,0.8568121040338912,24.069999694824226,27.779052288797583,0.7557588127925456,0.9974511080863119,0,23.989999771118164,24.09000015258789,23.739999771118164,24.06999969482422,48505500,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,24.50353340374792,23.392499923706055,22.28146644366419,24.070777517844448,24.175000190734863,24.130000114440918,23.42823775629975,22.400381516117235,0.012948855375633173,0.0,100.0,100.0,0.500002073200566,109.64721541955238,16.483275163439334,-0.003695612952999028,-0.16134542368134377,0.15764981072834475,80.14245928722892,0.5414616081366596,85673239.31304406,56482656.97060311,23.90999984741211,24.18000030517578,24.205000400543213,0.8432848940858715,24.280000686645494,27.2672392476653,0.7468316431738515,0.9983250310009251,1,24.049999237060547,24.360000610351562,23.899999618530273,24.280000686645508,41154700,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,24.576521762019862,23.411499977111816,22.24647819220377,24.201438961539697,24.320000648498535,24.219999313354492,23.549753187227353,22.11058701722918,0.11846169447287735,7.14285714285714,100.0,92.85714285714286,0.7187552154113923,119.12380859879923,18.73980038924253,0.041806035054321455,-0.12071513193421074,0.1625211669885322,87.58034371866677,0.5256429000429138,119607748.55058071,67608548.37566641,23.90999984741211,24.266666412353516,24.289999961853027,0.8447685847820191,24.360000610351527,27.438944245801654,0.7478174946289037,0.9982380941609005,0,24.1299991607666,24.3799991607666,24.059999465942383,24.360000610351562,38781900,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,24.687882348241274,23.47799997329712,22.268117598352966,24.274313082225007,24.329999923706055,24.304999351501465,23.673053472937724,22.16763649733104,0.23403858527159116,0.0,100.0,100.0,-0.2903235730238904,119.76699030554947,16.203833982315135,0.07219261798778831,-0.08213358194981094,0.15432619993759925,87.28756982061907,0.5102397976071615,118595633.31945273,65691781.07004554,23.90999984741211,24.303332646687824,24.302499294281006,0.8404113063760907,24.29999923706055,27.13231007832021,0.7449175886924606,0.9984871586519235,1,24.389999389648438,24.459999084472656,24.149999618530273,24.299999237060547,31374800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,24.743737778525013,23.53099994659424,22.318262114663465,24.241301085488246,24.174999237060547,24.02999973297119,23.787099470270718,20.514510260410606,0.3428206443786621,0.0,92.85714285714286,92.85714285714286,-0.27500178814104803,57.14781554638112,6.041647722066662,0.07523404201842254,-0.05066005715616424,0.12589409917458677,82.60522645348306,0.5073654773033994,122224146.80680461,60090195.91189937,23.90999984741211,24.03666623433431,24.03999948501587,0.8425635036041879,24.049999237060515,26.96974120126201,0.7463517147278518,0.9983665068499886,0,24.15999984741211,24.229999542236328,23.829999923706055,24.049999237060547,36286000,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,24.82891504076892,23.60299997329712,22.37708490582532,24.308746188725483,24.19499969482422,24.270000457763672,23.89305688463007,19.909598539253217,0.39846159861637886,0.0,85.71428571428572,85.71428571428572,0.6944432670707419,109.99007126160204,15.295397383575116,0.0998935322609178,-0.020549339272747838,0.12044287153366563,81.63233757440541,0.4996966236302214,135128218.6713407,56441734.312110215,23.90999984741211,24.293333689371746,24.30500030517578,0.8241211814590141,24.340000152587862,26.301991664987312,0.7339511702271346,0.999250357615447,1,24.09000015258789,24.450000762939453,24.09000015258789,24.34000015258789,33182100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,24.909508781527624,23.66199998855591,22.414491195584194,24.35162271816674,24.335000038146973,24.130000114440918,23.990308847127167,18.38555682364819,0.4876282765315132,0.0,78.57142857142857,78.57142857142857,0.6346170069948542,72.63909675243184,14.875247672059292,0.11727751881063853,0.0070160323439294354,0.1102614864667091,73.92951693083775,0.5011467612577083,163676040.25855264,58901512.86157206,23.90999984741211,24.196666717529297,24.230000019073486,0.8277070202230403,24.329999923706044,26.481040597984183,0.7363819560654089,0.9991051138191286,0,24.0,24.389999389648438,23.8700008392334,24.329999923706055,37112100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,24.910590720706043,23.752499961853026,22.59440920300001,24.379610385165904,24.329999923706055,24.334999084472656,24.077938262172978,17.29123749281014,0.5273719078455201,0.0,100.0,100.0,-0.12000274658203036,99.28585144652213,14.875247672059283,0.12956095535174939,0.03152501694549343,0.09803593840625596,71.15521088729041,0.4832077068821577,162447454.50720987,54162189.268963546,23.90999984741211,24.333332697550457,24.332499504089355,0.8142423807167877,24.329999923706033,25.775659396504764,0.727205762676133,0.9995840344047127,0,24.360000610351562,24.459999084472656,24.209999084472656,24.329999923706055,30719800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,24.907023849621275,23.85900001525879,22.810976180896304,24.485962265262103,24.46500015258789,24.484999656677246,24.16152100461531,17.00440879059279,0.5735257344368172,0.0,100.0,100.0,0.8181833945033674,135.53115825686433,23.59380448194561,0.15924675035113012,0.05706936362662077,0.10217738672450935,69.8917002984556,0.4722642937981504,191565505.36176005,56564374.04671116,23.90999984741211,24.523333231608074,24.542500019073486,0.8088037342539359,24.60000038146973,25.77937376229845,0.7234618329634179,0.9997261021306948,0,24.329999923706055,24.649999618530273,24.31999969482422,24.600000381469727,41777800,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,24.907746761171364,23.95300006866455,22.998253376157738,24.564232214914135,24.605000495910645,24.59500026702881,24.24254902325241,17.085327948502698,0.567115453573372,21.42857142857143,100.0,78.57142857142857,-0.16128813934743882,135.49978983366088,23.904673077131392,0.18148781312068962,0.08195305352543454,0.09953475959525508,69.5239670997207,0.46067394895130986,196540189.08097324,53987724.08947474,23.90999984741211,24.600000381469727,24.602500438690186,0.7999195447496192,24.61000061035156,25.335326739574054,0.7173000348651007,0.999894566594565,0,24.65999984741211,24.75,24.440000534057617,24.610000610351562,51403800,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
