Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,M2,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,M1,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"Trade Balance: Goods and Services, Balance of Payments Basis",New Privately-Owned Housing Units Started: Total Units,Domestic Auto Production,New One Family Houses Sold
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,19.632466581653613,18.41899995803833,17.20553333442305,17.817817801771675,18.079999923706055,18.015000343322754,17.90141046302078,21.160305906010677,-0.7043589934324608,50.0,7.14285714285714,-42.85714285714286,-0.48888860631800196,-20.306308008566347,-17.445368233014385,-0.40880180832936475,-0.3997711162670765,-0.009030692062288237,36.440338554210264,0.591687637061562,47603932.432841994,16869630.488675777,18.714999198913574,18.013333638509113,18.012500286102295,0.812147184509796,18.01000022888186,19.00022367228835,0.7257659839606733,0.9996422662657046,0,18.229999542236328,18.239999771118164,17.790000915527344,18.010000228881836,12557300,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,19.375773332732855,18.329999923706055,17.284226514679254,17.83463053450911,18.0,17.910000801086426,17.851291943989636,21.172690533107918,-0.6223718203031083,42.85714285714286,0.0,-42.85714285714286,0.15384220371932741,-27.556322829165957,-17.945567548576868,-0.39135616524446704,-0.3980881260625546,0.006731960818087579,38.559555948490065,0.5679956793344388,53801939.48635775,17365846.166919544,18.679999351501465,17.93666712443034,17.950000286102295,0.7970956212012912,17.989999771118168,18.415875383994653,0.7153295679523493,0.999931585520568,0,17.950000762939453,18.040000915527344,17.780000686645508,17.989999771118164,10071900,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,19.11881636277898,18.263999938964844,17.40918351515071,17.950195444216014,18.140000343322754,18.0649995803833,17.82359605719448,20.265134056507403,-0.5850640076857339,35.71428571428571,21.42857142857143,-14.285714285714278,0.9591866127418738,24.23934938285876,-7.430834374712232,-0.34929631181773857,-0.3883297632135914,0.03903345139585285,45.956602353545904,0.5624245430332764,65902884.29194434,19840430.82189504,18.630000114440918,18.140000025431316,18.177500247955322,0.7966329534940978,18.290000915527326,18.705656853295974,0.7150061851107081,0.9999368904095567,1,17.81999969482422,18.309999465942383,17.81999969482422,18.290000915527344,13176500,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,19.095209404025955,18.223999977111816,17.35279055019768,17.863583478147287,18.02500057220459,17.86500072479248,17.80526413103061,20.346560711522883,-0.5861538251241036,28.57142857142857,14.28571428571429,-14.28571428571428,-0.6235299397502494,-46.566986427820446,-20.854762618715895,-0.35464210750564007,-0.3815922320720012,0.026950124566361144,44.912784653941316,0.5829656743501658,60515471.8535685,17334908.693820424,18.585000038146973,17.830000559488933,17.812500476837158,0.8143461927349759,17.760000228881854,18.819191627791316,0.7272770173547856,0.9995810350572764,1,18.290000915527344,18.290000915527344,17.440000534057617,17.760000228881836,21806100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,19.097011852283362,18.148499965667725,17.199988079052087,17.62036076719691,17.484999656677246,17.300000190734863,17.77695752367795,20.983540872779113,-0.5578205035283013,21.42857142857143,7.14285714285714,-14.285714285714292,-0.42857337484077007,-166.64094421515674,-31.892499986123678,-0.39866363863842835,-0.3850065133852867,-0.013657125253141666,35.910381729156526,0.5841824391444201,45391080.18184964,9921715.137350231,18.425000190734863,17.269999821980793,17.25499963760376,0.8156060742080139,17.20999908447264,18.28247893375142,0.7281411520612251,0.9995437757565448,0,17.329999923706055,17.440000534057617,17.15999984741211,17.209999084472656,23526600,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,19.050866274005315,18.09099998474121,17.131133695477104,17.539844654000355,17.354999542236328,17.4399995803833,17.739487177799703,20.933723475982667,-0.5205768560751913,14.28571428571429,0.0,-14.28571428571429,0.6315797398973046,-114.71305480155486,-22.214234704063024,-0.4054762906959688,-0.38910046884742316,-0.016375821848545635,36.63699071019673,0.5724551275122434,50654960.19931698,7661941.857320197,18.270000457763672,17.459999720255535,17.46999979019165,0.7876661807456092,17.499999999999996,17.57956118976264,0.7087086916149177,0.9999974280497567,1,17.260000228881836,17.6299991607666,17.25,17.5,16668800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,18.866263958348465,18.00900001525879,17.15173607216911,17.484628259083635,17.5,17.145000457763672,17.695656804890575,21.820747856176357,-0.46083324383466717,100.0,0.0,-100.0,0.4050624354158018,-153.2000754008835,-22.214234704063024,-0.40619302617471575,-0.3925189803128817,-0.013674045861834072,34.65110323477882,0.5879941123704648,78886018.92723763,15023558.578253545,18.204999923706055,17.263333638509113,17.322500228881836,0.7877412917312664,17.5,17.58220225254772,0.7087616805087494,0.9999972548760616,0,17.18000030517578,17.540000915527344,16.75,17.5,31412100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,18.78400834385097,17.95999994277954,17.13599154170811,17.491148303761943,17.5649995803833,17.56999969482422,17.65184345963796,21.802663181673136,-0.3893589239854087,92.85714285714286,64.28571428571428,-28.571428571428584,0.45833233992164013,-44.03069523537951,-17.723163982352908,-0.391755287287225,-0.39236624170775036,0.0006109544205253892,45.017810138339414,0.5802802145037408,83965903.55558245,18285677.929631136,18.15499973297119,17.589999516805012,17.59999942779541,0.7680106713402854,17.629999160766584,17.027334315476164,0.6947057018468903,0.9998488413682899,1,17.40999984741211,17.809999465942383,17.329999923706055,17.6299991607666,20319700,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,18.77066378519455,17.944499969482422,17.118336153770294,17.546384493239998,17.699999809265137,17.684999465942383,17.615190368707403,21.78636922562913,-0.29775635401407996,85.71428571428572,57.14285714285714,-28.571428571428584,0.30434710497072726,-2.8256699770104836,-12.910998610066196,-0.3648110261501074,-0.3868551985962218,0.022044172446114396,44.33353550533511,0.5552601664846399,90387704.31188916,20001147.184053086,18.114999771118164,17.713333129882812,17.727499961853027,0.76843925084634,17.770000457763675,17.177275830732313,0.6950139127413199,0.9998562010890285,0,17.700000762939453,17.799999237060547,17.56999969482422,17.770000457763672,8688200,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,18.74955109728285,17.917000007629394,17.084448917975937,17.53786053711878,17.690000534057617,17.75,17.584880762314015,21.26153955570959,-0.28955128254034435,78.57142857142857,50.0,-28.57142857142857,-0.6590907120501456,-3.7247860976342166,-17.08254222668953,-0.35230698002541416,-0.3799455548820603,0.027638574856646114,45.353238273504004,0.5470271993578074,82128541.81394823,16256728.612966955,18.0649995803833,17.703333536783855,17.68000030517578,0.7618481421565223,17.610000610351566,16.799506155237975,0.6902598677861242,0.9997227110655825,0,17.899999618530273,17.969999313354492,17.530000686645508,17.610000610351562,12978700,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
