Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,M2,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,M1,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,"Trade Balance: Goods and Services, Balance of Payments Basis",New Privately-Owned Housing Units Started: Total Units,Domestic Auto Production,New One Family Houses Sold
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,9.975168733739359,9.0614999294281,8.147831125116841,8.501774315965488,8.679999828338623,8.675000190734863,8.617147987966838,40.15185699718868,-0.5750640966953373,71.42857142857143,7.14285714285714,-64.28571428571429,-0.2608719088451386,-42.34567615611997,-20.26625610777452,-0.4554187248442254,-0.4629816788636185,0.007562954019393109,39.062265913542106,0.45551143207574135,-18964204.65092455,-446662.1593289003,9.375,8.693333307902018,8.702499866485596,1.4201195304469274,8.729999542236337,57.49944494293163,0.9886697123065408,0.8052369440209297,0,8.789999961853027,8.789999961853027,8.5600004196167,8.729999542236328,18426500,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,9.813304900978117,9.000499963760376,8.187695026542634,8.545339433861756,8.744999885559082,8.680000305175781,8.571499797659463,39.785893821303475,-0.5269230818137132,64.28571428571428,0.0,-64.28571428571428,0.6111134658585186,-30.133081603517443,-19.057067578932188,-0.42849099015097103,-0.45608354112108906,0.027592550970118035,45.178950970340374,0.43583206586860135,1026053.5040366687,7067674.534752285,9.34000015258789,8.706666946411133,8.720000267028809,1.4170374126308936,8.76000022888183,56.52262280863295,0.9882023687655989,0.8070606680113381,0,8.649999618530273,8.770000457763672,8.59000015258789,8.760000228881836,22489100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,9.676390614985204,8.955499935150147,8.23460925531509,8.627879874486677,8.829999923706055,8.900000095367432,8.543789042474188,37.80554260836378,-0.5121154296092509,57.14285714285714,14.28571428571429,-42.85714285714285,0.2708313051218223,29.522889713847004,-13.330722506365042,-0.3913426314290174,-0.44313535918267477,0.0517927277536574,53.46682724106686,0.4389869537287473,1025996.5373536439,9499187.37159069,9.25,8.899999936421713,8.899999856948853,1.4141029127555331,8.899999618530291,56.33319126527965,0.9877486848358077,0.8087899204213209,0,8.770000457763672,9.140000343322754,8.65999984741211,8.899999618530273,28672300,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,9.662200550222323,8.945999908447266,8.22979926667221,8.705353040940512,8.919999599456787,9.009999752044678,8.534389526096554,36.05299137340703,-0.4603206133231126,50.0,7.14285714285714,-42.85714285714286,-0.6500011920940313,59.82316500072246,-11.677969480100398,-0.3545871667391669,-0.4254257206939732,0.07083855395480632,53.07858720448267,0.42263074547290624,-10259161.899572661,6039602.450221606,9.150000095367432,8.986666361490885,8.97499966621399,1.4116278986400006,8.939999580383276,55.691790086539605,0.9873594265557853,0.8102429917607978,1,9.069999694824219,9.109999656677246,8.90999984741211,8.9399995803833,16121600,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,9.617255688146827,8.909999895095826,8.202744102044825,8.65588126980241,8.774999618530273,8.625,8.533329384225901,35.706651951719444,-0.3787821561862259,42.85714285714286,0.0,-42.85714285714286,-0.5365862168423594,-48.17742101649847,-21.80904941999475,-0.3480740510898883,-0.40995538677315624,0.061881335683267924,47.08966096028635,0.42958565680265265,-12353803.30347482,3408786.1311270557,9.105000019073486,8.619999885559082,8.617499828338623,1.416411344843381,8.609999656677203,55.32588050200053,0.9881062904593535,0.8074301831416741,0,8.829999923706055,8.829999923706055,8.420000076293945,8.609999656677246,28626100,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,9.560785482137714,8.892499923706055,8.224214365274396,8.779924905519263,8.849999904632568,8.934999942779541,8.546479183425625,33.910375646622235,-0.3062821290431881,35.71428571428571,0.0,-35.71428571428571,0.6610184285688889,101.50825966835708,-3.256028141933858,-0.30071388900040397,-0.3881070872186058,0.08739319821820185,54.13720548127338,0.4431866731423976,5670065.904925933,7757520.918613428,9.085000038146973,8.986666679382324,9.012500047683716,1.404666493711612,9.090000152587859,54.21193999168761,0.9862321480755788,0.814303364586921,1,8.699999809265137,9.229999542236328,8.640000343322754,9.09000015258789,34303400,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,9.41193445538429,8.859999895095825,8.30806533480736,8.866601080484491,9.079999923706055,8.90500020980835,8.573657673864993,32.30164185639478,-0.24641034541985896,28.57142857142857,21.42857142857143,-7.142857142857139,0.5405401922298723,78.4000340440547,-3.91275347600567,-0.26177688810801847,-0.36284104739648837,0.1010641592884699,54.80411874936992,0.4379590454578751,24329105.33086537,14768286.701873727,9.074999809265137,8.960000038146973,8.987499952316284,1.4057247018047379,9.069999694824187,54.44586815132273,0.9864065882445353,0.813688682979161,0,8.869999885559082,9.09000015258789,8.720000267028809,9.069999694824219,20920800,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,9.34344634433849,8.842999935150146,8.342553525961803,8.92804235008153,9.065000057220459,9.009999752044678,8.612019407651452,30.642400482926533,-0.21269238912142185,21.42857142857143,14.28571428571429,-7.142857142857141,-0.07142686843709581,87.80069518267504,-4.262661960710679,-0.22908514140708647,-0.33608986619860803,0.10700472479152157,61.70563982715519,0.426676237423112,31609745.19414921,18610322.96044564,9.065000057220459,9.026666641235352,9.035000085830688,1.4020935735234579,9.060000419616676,53.1934757890479,0.9858034088017718,0.8157940921756245,0,9.079999923706055,9.149999618530273,8.869999885559082,9.0600004196167,20385500,8527.6,145.632,326.15,1699.8,216.741,-41504.0,604.0,232.1,336.0
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,9.54092064319059,8.89549994468689,8.250079246183189,9.208245462820203,9.415000438690186,9.494999885559082,8.67459937368698,28.84533467600604,-0.1090385119120274,14.28571428571429,100.0,85.71428571428571,0.8983060162286235,210.8325283219105,18.446694506158142,-0.14422311298400992,-0.2977165155556884,0.15349340257167848,63.641979811242535,0.44834218776691315,68113591.36943127,30105077.671047024,9.065000057220459,9.586666742960611,9.632500171661377,1.3894265698763246,9.770000457763691,53.27589854852426,0.9835975429076191,0.8230543148753116,1,9.239999771118164,9.789999961853027,9.199999809265137,9.770000457763672,39158600,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,9.618919696479104,8.915499925613403,8.212080154747703,9.34827390574606,9.670000076293945,9.625,8.757475083030059,27.222066664320103,-0.03929490920824996,7.14285714285714,92.85714285714286,85.71428571428572,0.13043388121340882,176.8766044740466,11.105455452273757,-0.09204667735444616,-0.25658254791543994,0.16453587056099378,65.40401295928064,0.43488919070369336,48874781.112850904,25949212.455467742,9.065000057220459,9.606666564941406,9.59749984741211,1.3923397009859113,9.56999969482425,53.055985571470735,0.9841188305419593,0.8213962751378111,1,9.539999961853027,9.739999771118164,9.510000228881836,9.569999694824219,40226300,8523.7,145.858,326.15,1711.9,217.631,-40271.0,636.0,224.0,381.0
